ph,temperature,humidity,altitude,rainfall,N,P,K,label
6.43,27.41,50.1,486.0,582.53,45.0,47.0,83.0,Almond
7.11,18.26,53.39,1108.0,509.42,105.0,41.0,69.0,Almond
6.45,29.09,51.0,268.0,486.98,74.0,26.0,90.0,Almond
7.41,17.5,56.4,973.0,551.17,97.0,26.0,70.0,Almond
7.36,16.31,48.97,903.0,950.01,63.0,30.0,113.0,Almond
6.37,22.49,67.83,152.0,905.2,115.0,28.0,84.0,Almond
6.88,20.04,48.01,330.0,782.47,110.0,31.0,58.0,Almond
6.66,17.06,57.11,485.0,816.22,43.0,22.0,110.0,Almond
6.27,20.35,52.03,301.0,891.55,41.0,35.0,84.0,Almond
7.06,15.14,62.26,566.0,708.57,69.0,31.0,53.0,Almond
7.16,19.32,56.41,1056.0,996.73,55.0,34.0,83.0,Almond
6.64,29.53,50.47,673.0,648.1,111.0,32.0,71.0,Almond
6.81,28.33,61.76,293.0,509.3,77.0,23.0,64.0,Almond
6.96,27.06,56.85,970.0,447.8,68.0,41.0,88.0,Almond
7.38,15.27,42.03,157.0,848.29,56.0,60.0,60.0,Almond
6.36,20.57,50.76,425.0,939.74,55.0,32.0,108.0,Almond
6.63,17.67,65.3,653.0,966.82,66.0,40.0,116.0,Almond
6.33,19.65,47.68,1470.0,679.8,61.0,38.0,75.0,Almond
6.8,25.81,54.36,508.0,493.7,61.0,32.0,60.0,Almond
7.41,22.9,53.69,96.0,866.97,73.0,48.0,78.0,Almond
7.4,17.93,68.62,995.0,420.73,78.0,37.0,109.0,Almond
6.7,23.19,55.16,1049.0,937.26,32.0,51.0,57.0,Almond
6.18,18.76,48.69,630.0,584.45,66.0,26.0,112.0,Almond
6.64,29.45,42.32,411.0,580.65,119.0,56.0,77.0,Almond
6.82,19.38,60.33,1381.0,786.64,84.0,29.0,57.0,Almond
7.25,15.7,69.37,1043.0,665.45,106.0,27.0,58.0,Almond
6.87,19.33,52.74,112.0,560.79,76.0,55.0,56.0,Almond
7.03,26.3,64.92,997.0,832.61,100.0,44.0,104.0,Almond
6.66,26.36,60.4,1243.0,712.6,100.0,46.0,54.0,Almond
6.08,20.62,69.77,716.0,639.61,71.0,35.0,68.0,Almond
6.45,15.78,59.68,1165.0,831.49,38.0,22.0,99.0,Almond
6.63,20.67,46.34,293.0,692.04,62.0,55.0,68.0,Almond
6.89,17.25,50.52,1318.0,551.37,45.0,33.0,104.0,Almond
7.21,23.98,44.06,156.0,692.73,35.0,35.0,74.0,Almond
6.95,25.12,67.52,926.0,720.44,43.0,59.0,93.0,Almond
7.43,21.45,56.36,665.0,493.72,103.0,30.0,62.0,Almond
6.56,20.12,42.95,1178.0,608.33,39.0,53.0,86.0,Almond
6.75,29.66,68.21,610.0,482.89,104.0,58.0,50.0,Almond
